Source,URL,Use in workbook
Augnito homepage,https://augnito.ai/,"Medical speech recognition, 50+ specialties, EMR dictation"
Augnito about,https://augnito.ai/about-us,450+ hospitals claim
IndiaAI Augnito article,https://indiaai.gov.in/article/augnito-leveraging-voice-ai-to-transform-healthcare,"Ambient clinical intelligence pilots, structured EMR-ready data"
Augnito Play Store,https://play.google.com/store/apps/details?id=com.scribetech.augnitoappprod,Mobile mic/app mode
Augnito Chrome Web Store,https://chromewebstore.google.com/detail/augnito/loedohmkociaomkgggggnoogiahfinme,Chrome plugin and reporting workflow
Medoriax,https://medoriax.com/,India-first multilingual AI medical scribe and supported languages
RxNote AI Scribe,https://rxnote.ai/features/ai-scribe,"India scribe, languages, SOAP notes, accuracy claim"
RxNote workflow,https://rxnote.ai/features/how-it-works,Speak in Tamil/Hindi/Telugu/Hinglish and generate notes
RxNote LinkedIn,https://www.linkedin.com/posts/rxnote_rxnote-ai-medical-scribe-for-indian-doctors-activity-7412783258926485504-WHcV,Additional languages including Malayalam/Kannada/Bengali
EkaScribe,https://ekascribe.ai/,"Voice-to-prescription, clinical notes, 20+ languages, Chrome extension"
Merago AI Scribe,https://www.merago.ai/scribe,Explicit Bengali/Hindi/Kannada/Tamil/Telugu and mixed-language support
KiraDoc,https://kiradoc.in/,"22 official languages, 10,000+ hours Indian speech, Hindi/Bengali/Tamil/Kannada/Telugu/Malayalam"
HealthOrbit AI,https://healthorbit.ai/ambient-ai-scribe/,"Ambient AI scribe, multilingual capability, coding"
QModify,https://www.qmodify.com/ai-medical-scribe-india,India AI medical scribe
QModify blog,https://www.qmodify.com/post/how-aimedicalscribeindia-auto-scribe-works-from-voice-to-validated-emr,Hinglish/Malayalam/accent recognition claim
CurePilot,https://curenearme.com/products/ai-clinical-scribe-india,Hindi/Gujarati/Tamil/Marathi/Telugu and 10+ languages
VoxDox,https://voxdox.co.in/,Noida voice-to-prescription product
DoctorsApp,https://www.doctorsapp.in/blog/best-ai-voice-to-rx-software-for-doctors-in-india,India voice-to-Rx/EMR product positioning
Adrine,https://www.adrine.in/blog/ai-in-healthcare-india,"AI voice scribe in HMIS, 10+ Indian languages"
VivaLyn Labs,https://www.vivalynlabs.com/blog/best-ai-medical-scribe-software-india,India medical scribe market positioning
ScribeMedics,https://scribemedics.org/,Hybrid AI + human medical scribe model
PenBOT IndiaAI,https://indiaai.gov.in/case-study/penbot-ai-scribe-for-efficient-transcription-in-medical-settings,AI scribe/transcription case study
ScribeMed,https://scribemed-web.vercel.app/,500+ doctors claim
SPRING-INX IIT Madras,https://arxiv.org/abs/2310.14654,Background: Indian speech corpus includes Bengali/Hindi/Kannada/Malayalam/Tamil
Vakyansh,https://arxiv.org/abs/2203.16512,Background: Indic ASR toolkit and language resource context
